案号,案由,诉请标的额,判决标的额,标的支持率,是否胜诉,受理法院,所在省份,审理天数,被告是否缺席,是否明确论述腾讯电子签效力,原告有无代理,法院有无公告送达,source_file,文书标题,raw_标的片段
（2025）豫10民终2634号,合同纠纷,126000,2820,0.02,败诉,河南省许昌市中级人民法院,河南,,无法判断,否,无法判断,否,doc_03652b3d18d27f3e97703bdf.html,王某;彭某合同纠纷二审民事判决书,诉讼请求或将本案发回重审。事实和理由：一审法院审理事实不清。1.上诉人与被上诉人双方就关于车辆买卖一事未作出任何书面和口头的约定，双方在聊天记录中未对车辆型号、交付方式、支付方式等主要合同内容进行约定，双方不存在买卖合同的合意。因此，本案买卖合同关系不成立。2.双方在2024年9月8日签订的有《车辆转赠协议》，该协议双方自愿签订，并对车辆型号、交付方式、法律后果进行了约定，被上诉人作为完全民事行为…
,,,,,无法判断,,,,无法判断,否,无法判断,否,doc_0afaf4225d335f92b196686a.html,,
（2025）粤01民终20689号,民间借贷纠纷,3610,4953.34,1.37,败诉,广东省广州市中级人民法院,广东,,是,否,律师,否,doc_2566222912bb692f65e25896.html,曾某;毛某民间借贷纠纷二审民事判决书,"诉讼请求。如果未按判决指定的期间履行给付义务的，应当依照《中华人民共和国民事诉讼法》第二百六十四条的规定，加倍支付迟延履行期间的债务利息。一审案件受理3610元，由曾某负担3510元，毛某负担100元。
二审期间，曾某提交了一份证据，聊天记录，拟证明曾某2024年3月23日23：40通过微信向毛某转账10000元。毛某未到庭质证，亦未提交书面质证意见。
对曾某二审提交的证据，本院认证如下：曾某二审…"
（2025）鄂01民终21340号,民间借贷纠纷,4376,2912,0.67,败诉,湖北省武汉市中级人民法院,湖北,,无法判断,否,无法判断,否,doc_30ae481dc8cde86362243619.html,陶某;张某民间借贷纠纷二审民事判决书,"诉讼请求。当事人如果未按本判决指定的期限履行给付金钱义务，则依照《中华人民共和国民事诉讼法》第二百六十四条规定，加倍支付迟延履行期间的债务利息。案件受理费4376元，减半收取计2188元，由陶某负担1477.04元，张某负担710.96元。
二审中，双方当事人均未提交新证据。
经审理查明，一审判决认定的事实属实，本院予以确认。
本院认为，陶某上诉认为其与张某间发生在案涉借款之前的借款利息超出法律规…"
（2025）陕01民终16994号,民间借贷纠纷,12170,9733.12,0.80,败诉,陕西省西安市中级人民法院,陕西,,无法判断,否,无法判断,否,doc_7eb5f359b8bc0d8fdcf45390.html,商某;文某;任某民间借贷纠纷二审民事判决书,"诉讼请求。如果未按本判决指定的期间履行给付金钱义务，应当按照《中华人民共和国民事诉讼法》第二百六十四条规定，加倍支付迟延履行期间的债务利息。案件受理费12170元，文某负担170元，商某负担12000元。商某于履行本判决时将负担的案件受理费支付文某。商某预交的2491元，一审法院予以退还。
本院二审期间，当事人围绕诉讼请求依法提交了证据。本院组织当事人进行了证据交换和质证。对当事人二审争议的事实，…"
（2025）陕01民辖398号,点击了解更多,16989,16989,1.00,无法判断,陕西省西安市中级人民法院,陕西,,否,否,无法判断,否,doc_889050a14510e8dfc964c757.html,秦某;刘某信息网络买卖合同纠纷指定管辖管辖裁定书,
（2025）浙02民终7968号,民间借贷纠纷,200000,2541,0.01,败诉,浙江省宁波市中级人民法院,浙江,,是,否,无法判断,否,doc_8db9fab4d134b4f152d8fadd.html,王某、盛某、张某民间借贷纠纷二审民事判决书,诉讼请求。事实与理由：案涉借款实际上是高息借款，2025年4月7日，王某向张某借款200000元，实际约定的利息为4000元/天，即月利率为60%，明显超过法律规定的最高标准，借条上显示月利率1.2%是为了掩盖张某高利放贷的行为。2025年5月12日，王某向张某转账100000元，但除此之外，4月至7月期间张某为了隐瞒高息放贷的事实，多次要求王某以现金形式归还借款98000元，同年7月23日，张某…
（2025）渝05民终6326号,民间借贷纠纷,34000,32000,0.94,败诉,重庆市第五中级人民法院,重庆,,无法判断,否,无法判断,否,doc_91bbf07815feb74e443d9dde.html,赵某某;盛某某;盛某某民间借贷纠纷二审民事判决书,"诉讼请求；2.一、二审案件受理费由被上诉人赵某某承担。事实和理由：原判决认定基本事实不清，即原判决中认定赵某某支付现金34000元错误，赵某某未提供任何现金支取的流水凭证，在赵某某与原审第三人盛某某民间借贷纠纷另案中，法院确认被上诉人赵某某无现金交付，上诉人有合理理由怀疑赵某某未交付现金。
赵某某辩称，一审认定事实清楚，适用法律正确，请求驳回上诉，维持原判。一、上诉人在事后通过实际行动与明确意思表…"
（2025）闽09民初64号,侵害外观设计专利权纠纷,20000,2000,0.10,败诉,福建省宁德市中级人民法院,福建,,是,否,律师,否,doc_9361d99a882c390c768e0307.html,霞浦某经营部;武义某公司侵害外观设计专利权纠纷一审民事判决书,"诉讼请求：1.判令被告立即停止销售、许诺销售侵害原告享有的专利号为“ZL202230742315.9”、名称为“拖鞋（羊羊得意）”的外观设计专利权产品；2.判令被告赔偿原告经济损失及维权支出的费用共计20000元；3.本案诉讼费由被告承担。庭审中，武义某公司撤回第一项诉请，本院予以口头裁定准许并记入法庭笔录。
事实与理由：设计人王某于2022年11月8日向国家知识产权局申请名称为“拖鞋（羊羊得意）…"
（2025）黑01民终8003号,民间借贷纠纷,9066,415000,45.78,败诉,黑龙江省哈尔滨市中级人民法院,黑龙江,,无法判断,否,无法判断,否,doc_9528613c1208c883dbbea552.html,刘某;辛某甲民间借贷纠纷二审民事判决书,"诉讼请求。如果未按本判决指定的期间履行给付金钱义务，应当依照《中华人民共和国民事诉讼法》第二百六十四条之规定，加倍支付迟延履行期间的债务利息。案件受理费9,066元，减半收取4,533元，由刘某负担184元、辛某甲负担4,349元。
本院二审期间，当事人围绕上诉请求依法提交了证据。本院组织当事人进行了证据交换和质证。辛某甲举示：建设银行转账账单，微信、支付宝转账凭证。拟证明：辛某甲还偿还刘某8万元…"
